"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 07 09:07:51 GMT 2021","Sun Mar 07 09:07:51 GMT 2021","1","src.sw.allotmentclub.tests","test_account","","","","test_split_booking_failure_1",""
"passed","Sun Mar 07 09:07:11 GMT 2021","Sun Mar 07 09:07:11 GMT 2021","124","src.sw.allotmentclub.alembic.versions","add_signature_for_st_38a1521607b5","","","","src/sw/allotmentclub/alembic/versions/add_signature_for_st_38a1521607b5.py",""
"passed","Sun Mar 07 09:07:24 GMT 2021","Sun Mar 07 09:07:24 GMT 2021","595","src.sw.allotmentclub.browser.tests","test_account","","","","test_SEPASammlerUpdateView_1","Testing SEPASammler Energieabschlag 1."
"passed","Sun Mar 07 09:07:10 GMT 2021","Sun Mar 07 09:07:10 GMT 2021","131","src.sw.allotmentclub.alembic.versions","replace_electric_meter_for_dr_kern_ecca91384800","","","","src/sw/allotmentclub/alembic/versions/replace_electric_meter_for_dr_kern_ecca91384800.py",""
"passed","Sun Mar 07 09:07:11 GMT 2021","Sun Mar 07 09:07:11 GMT 2021","111","src.sw.allotmentclub.alembic.versions","update_user_model_4369f16d7e67","","","","src/sw/allotmentclub/alembic/versions/update_user_model_4369f16d7e67.py",""
"passed","Sun Mar 07 09:07:51 GMT 2021","Sun Mar 07 09:07:51 GMT 2021","1","src.sw.allotmentclub.tests","test_account","","","","test_split_booking_failure_3",""
"passed","Sun Mar 07 09:07:52 GMT 2021","Sun Mar 07 09:07:52 GMT 2021","20","src.sw.allotmentclub.tests","test_account","","","","test_import_sepa_raises_value_error_if_no_sammler",""
"passed","Sun Mar 07 09:07:14 GMT 2021","Sun Mar 07 09:07:14 GMT 2021","153","src.sw.allotmentclub.browser","bulletin","","","","bulletin.py",""
"passed","Sun Mar 07 09:07:30 GMT 2021","Sun Mar 07 09:07:30 GMT 2021","7","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__print_or_sent_date_1","It returns printed date if message is printed."
"passed","Sun Mar 07 09:07:16 GMT 2021","Sun Mar 07 09:07:16 GMT 2021","138","src.sw.allotmentclub.alembic.versions","remove_year_from_bookingkind_32b7b30817d6","","","","src/sw/allotmentclub/alembic/versions/remove_year_from_bookingkind_32b7b30817d6.py",""
"passed","Sun Mar 07 09:07:42 GMT 2021","Sun Mar 07 09:07:44 GMT 2021","2794","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__MailAssignmentPreview_1","It can send Fehlende Arbeitsstunden."
"passed","Sun Mar 07 09:07:09 GMT 2021","Sun Mar 07 09:07:09 GMT 2021","119","src.sw.allotmentclub.alembic.versions","add_leaving_year_to_members_55a653c1d5a0","","","","src/sw/allotmentclub/alembic/versions/add_leaving_year_to_members_55a653c1d5a0.py",""
"passed","Sun Mar 07 09:07:38 GMT 2021","Sun Mar 07 09:07:38 GMT 2021","342","src.sw.allotmentclub.browser.tests","test_bulletin","","","","test_BulletinListView_1","It displays list of bulletins."
"passed","Sun Mar 07 09:07:05 GMT 2021","Sun Mar 07 09:07:06 GMT 2021","302","src.sw.allotmentclub","electricity","","","","electricity.py",""
"passed","Sun Mar 07 09:07:15 GMT 2021","Sun Mar 07 09:07:15 GMT 2021","132","src.sw.allotmentclub.alembic.versions","re_18_add_attachment_to_keylist_d1ccee162c46","","","","src/sw/allotmentclub/alembic/versions/re_18_add_attachment_to_keylist_d1ccee162c46.py",""
"passed","Sun Mar 07 09:07:23 GMT 2021","Sun Mar 07 09:07:24 GMT 2021","352","src.sw.allotmentclub.browser.tests","test_depot","","","","test_depot_can_be_edited_via_json_view",""
"passed","Sun Mar 07 09:07:32 GMT 2021","Sun Mar 07 09:07:32 GMT 2021","562","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__MailPrintView_1","It only generates pdfs for recipients without email."
"passed","Sun Mar 07 09:07:48 GMT 2021","Sun Mar 07 09:07:48 GMT 2021","14","src.sw.allotmentclub.browser.tests","test_postmark_webhook","","","","test__mail__postmark_webhook_5","It updates status for multiple requests."
"passed","Sun Mar 07 09:07:53 GMT 2021","Sun Mar 07 09:07:53 GMT 2021","210","src.sw.allotmentclub.tests","test_account","","","","test_account.py",""
"passed","Sun Mar 07 09:07:13 GMT 2021","Sun Mar 07 09:07:13 GMT 2021","130","src.sw.allotmentclub.browser","auth","","","","auth.py",""
"passed","Sun Mar 07 09:07:11 GMT 2021","Sun Mar 07 09:07:11 GMT 2021","107","src.sw.allotmentclub.alembic.versions","update_messages_to_integrate_greeting__2330cb148c04","","","","src/sw/allotmentclub/alembic/versions/update_messages_to_integrate_greeting__2330cb148c04.py",""
"passed","Sun Mar 07 09:07:05 GMT 2021","Sun Mar 07 09:07:06 GMT 2021","577","src.sw.allotmentclub","direct_debit","","","","direct_debit.py",""
"passed","Sun Mar 07 09:07:48 GMT 2021","Sun Mar 07 09:07:48 GMT 2021","7","src.sw.allotmentclub.browser.tests","test_postmark_webhook","","","","test__mail__postmark_webhook_4","It creates delivered status when message was delivered."
"passed","Sun Mar 07 09:07:58 GMT 2021","Sun Mar 07 09:07:58 GMT 2021","13","src.sw.allotmentclub.tests","test_electricity","","","","test__EnergyValue__price_3","Price is price * usage."
"passed","Sun Mar 07 09:07:19 GMT 2021","Sun Mar 07 09:07:19 GMT 2021","160","src.sw.allotmentclub.browser","protocol_print","","","","protocol_print.py",""
"passed","Sun Mar 07 09:07:06 GMT 2021","Sun Mar 07 09:07:06 GMT 2021","102","src.sw.allotmentclub","version","","","","version.py",""
"passed","Sun Mar 07 09:07:06 GMT 2021","Sun Mar 07 09:07:06 GMT 2021","129","src.sw.allotmentclub","logmailer","","","","logmailer.py",""
"passed","Sun Mar 07 09:07:46 GMT 2021","Sun Mar 07 09:07:46 GMT 2021","133","src.sw.allotmentclub.browser.tests","test_map","","","","test_map.py",""
"passed","Sun Mar 07 09:07:58 GMT 2021","Sun Mar 07 09:07:58 GMT 2021","14","src.sw.allotmentclub.tests","test_electricity","","","","test__EnergyValue__fee_4","Fee is 0 no power_fee."
"passed","Sun Mar 07 09:07:29 GMT 2021","Sun Mar 07 09:07:29 GMT 2021","182","src.sw.allotmentclub.browser.tests","test_assignment","","","","test_assignment.py",""
"passed","Sun Mar 07 09:07:10 GMT 2021","Sun Mar 07 09:07:10 GMT 2021","119","src.sw.allotmentclub.alembic.versions","add_protocols_1850226c55dc","","","","src/sw/allotmentclub/alembic/versions/add_protocols_1850226c55dc.py",""
"passed","Sun Mar 07 09:07:49 GMT 2021","Sun Mar 07 09:07:49 GMT 2021","46","src.sw.allotmentclub.browser.tests","test_protocol","","","","test_protocol_can_have_details",""
"passed","Sun Mar 07 09:07:08 GMT 2021","Sun Mar 07 09:07:08 GMT 2021","108","src.sw.allotmentclub.alembic.versions","add_content_for_form_letters_3c0b1fc7eeed","","","","src/sw/allotmentclub/alembic/versions/add_content_for_form_letters_3c0b1fc7eeed.py",""
"passed","Sun Mar 07 09:07:12 GMT 2021","Sun Mar 07 09:07:12 GMT 2021","128","src.sw.allotmentclub.alembic.versions","allow_selecting_multiple_external__ee1b8c9cb745","","","","src/sw/allotmentclub/alembic/versions/allow_selecting_multiple_external__ee1b8c9cb745.py",""
"passed","Sun Mar 07 09:07:51 GMT 2021","Sun Mar 07 09:07:51 GMT 2021","1","src.sw.allotmentclub.tests","test_account","","","","test_split_booking_failure_2",""
"passed","Sun Mar 07 09:07:06 GMT 2021","Sun Mar 07 09:07:06 GMT 2021","172","src.sw.allotmentclub","mail","","","","mail.py",""
"passed","Sun Mar 07 09:07:27 GMT 2021","Sun Mar 07 09:07:27 GMT 2021","576","src.sw.allotmentclub.browser.tests","test_account","","","","test_SEPASammlerExportView_2","Testing SEPASammler Energieabrechnung Sammelüberweisung XML export."
"passed","Sun Mar 07 09:07:18 GMT 2021","Sun Mar 07 09:07:19 GMT 2021","370","src.sw.allotmentclub.browser","protocol","","","","protocol.py",""
"passed","Sun Mar 07 09:07:05 GMT 2021","Sun Mar 07 09:07:05 GMT 2021","121","src.sw.allotmentclub","depot","","","","depot.py",""
"passed","Sun Mar 07 09:07:05 GMT 2021","Sun Mar 07 09:07:05 GMT 2021","126","src.sw.allotmentclub","base","","","","base.py",""
"passed","Sun Mar 07 09:07:29 GMT 2021","Sun Mar 07 09:07:29 GMT 2021","15","src.sw.allotmentclub.browser.tests","test_mail","","","","test__mail__get_recipient_3","It returns lastname and firstname of external recipient."
